,date,change_idx,log_num,pdf_page,call_datetime,disp_datetime,enrt_datetime,arvd_datetime,clrd_datetime,call_reason,call_type,call_action,call_taker,responding_units,street
0,2020-01-01,12,20-1,1,2020-01-01 00:36:00,,,2020-01-01 00:36:31,2020-01-01 01:12:39,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL ANTHONY M DUPRAT,34,BERKSHIRE DRIVE
1,2020-01-01,99,20-2,1,2020-01-01 01:28:00,2020-01-01 01:29:45,,,2020-01-01 01:30:53,B.O.L.O.,Phone,SERVICES RENDERED,MICHAEL STRIZZI,"31, 34, 37k",N HOOSAC ROAD
2,2020-01-01,171,20-3,1,2020-01-01 02:01:00,2020-01-01 02:03:32,2020-01-01 02:03:43,2020-01-01 02:06:22,2020-01-01 02:07:49,B.O.L.O.,Phone,UNABLE TO LOCATE,MICHAEL STRIZZI,"31, 34, 31",HALL STREET
3,2020-01-01,251,20-4,1,2020-01-01 02:04:00,2020-01-01 02:08:30,2020-01-01 02:08:42,2020-01-01 02:09:22,2020-01-01 02:17:59,ALARM,911,ALARM FALSE,MICHAEL STRIZZI,"31, 34, 31",COLE AVENUE
4,2020-01-01,332,20-6,2,2020-01-01 02:53:00,2020-01-01 02:55:37,,2020-01-01 03:00:56,2020-01-01 04:02:32,ASSIST OTHER AGENCY,911,SERVICES RENDERED,MICHAEL STRIZZI,"31, 34",LUCE ROAD
5,2020-01-01,406,20-8,2,2020-01-01 04:12:00,,,2020-01-01 04:12:58,,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL CRAIG A EICHHAMMER,31,SIMONDS ROAD
6,2020-01-01,429,20-10,2,2020-01-01 07:44:00,,,2020-01-01 07:45:15,2020-01-01 07:46:00,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,N HOOSAC ROAD
7,2020-01-01,464,20-11,2,2020-01-01 08:20:00,,,2020-01-01 08:21:06,2020-01-01 08:21:51,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,N HEMLOCK LANE
8,2020-01-01,488,20-12,3,2020-01-01 08:22:00,,,2020-01-01 08:22:35,,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,HARWOOD STREET
9,2020-01-01,512,20-13,3,2020-01-01 08:30:00,,,2020-01-01 08:30:26,,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,NORTH STREET
