call_number,vehicles_color,vehicles_year,vehicles_model,vehicles_vin
19-15,RED,2005,FORD CO FOCUS.,3FAFP31N35R126626
19-22,RED,2011,SUZI SX4,JS2YBS5A38B6301415
19-22,GRY,2012,SUBA ST OUTBAC,4S4BRBCC8C3239617
19-28,TAN,2007,. JEEP 4D GRAND CHEROKEE,1J8HR58287C634668
19-33,RED,2014,VOLK SE JETTA,3VWD17AJ2EM314619
19-39,BRO,2001,JEEP GRACHE,1J34GX58S71C738157
19-48,WHI,2005,GMC SAVANA,1GTGG25V251244387
19-49,RED,2011,TOYT 4D PRIUS,JTDKN3DU0B0320270
19-75,BLK,2014,BMW 4D,
19-78,BLK,2009,VOLV SE S40,YV1MS390192464930
19-79,GRY,2009,TOYT SE CAMRY,4T1BB46K89U105938
19-81,WHI,2017,TOYT SE CAMRY,4TIBFIFK4HU292337
19-82,BLK,2016,HOND SE CIVIC,2HGFC2F51GH577370
19-89,GRY,2006,KIA SE SPECTR,KNAFE121765301624
19-94,WHI,2013,HYUN SE ELANTRA,5NPDH4AE5DH351247
19-109,GRY,2017,SE,1E1F9S388HRO58672
19-110,GRY,2012,ACUR,2HNYD2H43CH507057
19-1113,GRY,2011,NISS SE ALTIMA,IN4CL2AP3BC185230
19-1113,GRY,2011,NISS SE ALTIMA,IN4CL2AP3BC185230
19-112,GRY,2011,TOYT PRIUS,JTDKN3DU4B5358121
19-125,WHI,2002,DODG RAMTRU,1D7HU182929184972
19-126,BLU,2001,VOLK JETTA,3VWSK69M01M116807
19-131,WHI,2013,TOYT 4D,2T1BU4EE2DC114845
19-153,WHI,2016,DODG PK 1500,1C6RR7LT6GS123772
19-153,WHI,2016,DODG PK 1500,1C6RR7LT6GS123772
19-160,BLK,2008,NISS 2D ALTIMA,1N4BL24E08C185667
19-170,VIN:,KNMAT2MV1KP500711,BLK 2019 NISS ROGUE,KNMAT2MV1KP500711
19-174,RED,2012,SUBA ST IMPREZ,JF1GPAA67CG205285
19-178,BRO,2010,FORD SH FUSION,3FAHPOHA4AR316911
19-181,RED,2013,SUBA ST OUTBAC,4S4BRBCC8D3320926
19-194,RED,2013,NISS SE SENTRA,3NIAB7AP6DL779421
19-212,GRY,2003,JEEP GRACHE,134GW48S93C517806
19-213,BLK,2006,CHEV CO MONCAR,2G61WL15C069326432
19-215,GRY,2003,JEEP GRACHE,174GW48593C517806
19-217,BLK,2015,JEEP,1IC4RJFBTSFC1L02075
19-221,BRO,2004,GMC ENVOY,1GKDT135042375090
19-222,BLK,2016,RAV4,2T3BFREV7GW424961
19-246,BLU,2002,BMW LL 325,WBAEP33472PE91095
19-246,BLK,2015,JEEP 4D GRAND CHEROKEE,1C4RUFBG7FC631708
19-250,GRY,2007,HOND CRV,JHLRE48597C117300
19-250,WHI,2014,FORD AM E450,iIFDXE4FS4EDB02123
19-255,WHI,2009,CHEV SE MALIBU,1G61Z057BX94187156
19-266,WHI,2006,FORD F350,
19-266,WHI,2006,FORD F350,
19-268,GRN,2011,HOND CRV,JHLRE4H34BC019699
19-271,GRY,2007,HYUN TUCSON,KM8JM12B77U650293
19-271,GRY,2007,HYUN TUCSON,KM8JM12B77U650293
19-279,GRY,2003,SUBA FOREST,JF1SG63643H766798
19-281,BLU,2013,FORD F550,1FDUFSHT1DEA88685
19-284,GRY,2011,SUBA LL OUT,4S4BRDLC8B2372975
19-291,GRN,2008,HOND CRV,JHLRE48748C051886
19-292,BLK,2017,CHEV COLORA,1GCGTBEN8H1181280
19-294,BLK,2014,VOLK SE JETTA,3VWB17AJ3EM439748
19-295,VIN:,4TIBDLFK7EU137864,GRY 2014 TOYT SE CAMRY,4TIBDLFK7EU137864
19-298,GRN,2004,VOLV LL XC70,YV1SZ59H541170031
19-309,WHI,2017,GMC SAVANA,1GDO7RFF1H1112755
19-309,WHI,2018,CHEV TR CARGO,1G6B3GSCG9J1326375
19-310,BLK,2015,AUDI CO A5,WAUMFAFH9FN002101
19-315,BLU,2007,VOLV ST XC70,YV4S2592671273705
19-322,GRY,2006,HOND ODYSSE,5FNRL382X6B068919
19-332,BLU,2008,TOYT SH CAMRY,4T1BB46K28U038686
19-337,RED,2004,DODG PK. RAM 1500,1D7HUi8D24J116147
19-341,GRY,1998,HOND SE ACCORD,1HGCG1654WA056318
19-344,BRO,2004,MERC SE SABLE,LMEFM55S84A613472
19-378,BLK,2012,SUBA ST IMPREZ,JFIGPAB63CH236073
19-378,RED,2018,KIA U SOR,SXYPKDAS0JG36355i
19-377,GRY,2004,SUBA ST IMPREZ,JF1GG68574H805262
19-377,GRY,2004,SUBA ST IMPREZ,JF1GG68574H805262
19-382,SIL,2017,JEEP GRAND CH,1C4RJFBG6HC790027
19-330,BLK,2016,SUBA IMPREZ,JFIGPAA6XG8209217
19-392,BLK,2015,HOND HB,
19-393,RED,2003,JEEP U WRANGL,134FA29113P368787
19-399,BLK,2017,TOYT TACOMA,3TMCZ5ANXHM105745
19-416,WHI,2000,FORD TK,1FTRX18W8YNA53318
19-424,BLK,2001,SUZI GRAVIT,JS3TD62V914166865
19-426,BLU,2015,SUBA XVCROS,JF2GPACC1F8237324
19-426,BLU,2015,SUBA XVCROS,JF2GPACC1F8237324
19-427,GRY,2016,NISS FRONTI,IN6ADOEV9GN786307
19-438,WHI,2012,TOYT PRIUS,JTDZN3EU2C3165699
19-439,GRY,2005,HOND SE ACCORD,LHGCM56455A014584
19-440,GRY,2013,CHEV 1500,3GCPKSE7XDG182821
19-445,BRO,2019,CHEV EQUINO,3GNAXUEV6KS506446
19-466,RED,2005,VOLV XC90,¥V1CZ852351205173
19-466,GRY,2013,GMC SIERRA,1GTR2WE71DZ239956
19-490,BLU,2008,HOND SE CIVIC,2HGFA1L6578H537134
19-492,BLK,1999,HOND 4D CIVIC,1HGEJ6573XL012424
19-492,BLK,1999,HOND 4D CIVIC,1HGEJ6573XL012424
19-507,BLU,2015,HYUN SE ELANTR,KMHDH4AE0FU447484
19-516,BLK,2012,TOYT TUNDRA,S5TFDY5F17CX217113
19-518,BLK,2015,TOYT TACOMA,3TMLU4EN6
19-518,BLK,2015,TOYT TACOMA,3TMLU4EN6
19-524,GRY,2015,TOYT HIGHLA,STDBKRFH6FS157588
19-526,WHI,2012,DODG PK PK,2C4JDGAGSCR218345
19-544,GRY,2018,FORD ESCAPE,1FMCU0G96JUB47032
19-557,MAR,2006,TOYT 4D SCION TC,JTKDE177060093390
19-563,GRY,2005,CHEV SILVER,1GCEK19V05Z100977
19-585,GRY,2018,SUBA SW FORESTER,JF2SJAAC473G504856
19-599,BLK,2017,CHEV COLORA,1GCHTCEN2H1i296094
19-599,BLK,2017,CHEV COLORA,1GCHTCEN2H1i296094
19-601,GRY,2013,FORD Fi50,IFTFWLET6EDFC22062
19-602,BRO,2003,GMC SIERRA,IGTEC14V13E178872
19-607,RED,1998,CHEV CO MONCAR,2GLWW12M9W9180410
19-610,WHI,2006,STRN VUE,5GZCZ634X6S842716
19-624,WHI,2014,MAZD CX5,JM3KE4CY6E0304368
19-624,WHI,2014,MAZD CX5,JM3KE4CY6E0304368
19-636,1J4GL5,8KX4W3,23073 BLK 2004 JHEP LIBERT,
19-649,BLU,2015,GMC TERRAI,2GKFLWEK7F6213238
19-659,WHI,2014,LINC U,2LMDJ8UK4EBL01325
19-662,BLU,2013,HYUN SE SONATA,SNPEC4AC2DH541024
19-662,BLU,2013,HYUN SE SONATA,SNPEC4AC2DH541024
19-664,RED,2011,CHEV SILVER,1GCRKREA7B2Z375079
19-668,BRO,2012,VOLV ST XC70,YV4902BZ2C1132641
19-672,RED,2011,DODG CALIBE,1B3CB3HA6BD111588
19-673,RED,2018,TOYT SE COROLL,2TIBURHE0JC118333
19-688,GRY,2011,SUBA ST OUTBAC,4S4BRBGC3B3379728
19-688,GRY,2011,SUBA ST OUTBAC,4S4BRBGC3B3379728
19-692,VIN:,JTEGD20V656000739,BLK 2005 TOYT RAV4,JTEGD20V656000739
19-704,GRY,2009,ACUR SE TSX,JH4CU26679C007806
19-7093,RED,2008,HOND PILOT,5FNYF18548B049867
19-712,BLU,2007,TOYT FUCRUI,JTEBU11F470001552
19-718,GRY,2009,VOLK SE JETTA,3VWRA71K29M017693
19-719,BLK,2014,JEEP GRCHER,1C4RJFCG8EC264864
19-734,RED,2003,GMC SIERRA,1GTEK199T53E123996
19-742,GRN,1999,SAA SE 95,YS3ED48E9X3003840
19-742,GRY,2013,TOYT SIENNA,5TDJIK3DC4DS069152
19-748,BLU,2010,CHEV 4D,1G1AB5F59A7117348
19-751,BRO,2008,CHEV SILVER,2GCEK19J881100428
